Алия 2, Дварим 8:11-9:3
Алия 3, Дварим 9:4-9:29
Алия 4, Дварим 10:1-10:11
Алия 5, Дварим 10:12-11:9
Алия 6, Дварим 11:10-11:21
Алия 7, Дварим 11:22-11:25
Мафтир, Дварим 11:22-11:25

Рээ, Дварим 11:26-16:17
Алия 1, Дварим 11:26-12:10
Алия 2, Дварим 12:11-12:28
Алия 3, Дварим 12:29-13:19
Алия 4, Дварим 14:1-14:21
Алия 5, Дварим 14:22-14:29
Алия 6, Дварим 15:1-15:18
Алия 7, Дварим 15:19-16:17
Мафтир, Дварим 16:13-16:17

Шофтим, Дварим 16:18-21:9
Алия 1, Дварим 16:18-17:13
Алия 2, Дварим 17:14-17:20
Алия 3, Дварим 18:1-18:5
Алия 4, Дварим 18:6-18:13
Алия 5, Дварим 18:14-19:13
Алия 6, Дварим 19:14-20:9
Алия 7, Дварим 20:10-21:9
Мафтир, Дварим 21:7-21:9

Ки-Теце, Дварим 21:10-25:19
Алия 1, Дварим 21:10-21:21
Алия 2, Дварим 21:22-22:7
Алия 3, Дварим 22:8-23:7
Алия 4, Дварим 23:8-23:24
Алия 5, Дварим 23:25-24:4
Алия 6, Дварим 24:5-24:13
Алия 7, Дварим 24:14-25:19
Мафтир, Дварим 25:17-25:19

Ки-Таво, Дварим 26:1-29:8
Алия 1, Дварим 26:1-26:11
Алия 2, Дварим 26:12-26:15
Алия 3, Дварим 26:16-26:19
Алия 4, Дварим 27:1-27:10
Алия 5, Дварим 27:11-28:6
Алия 6, Дварим 28:7-28:69
Алия 7, Дварим 29:1-29:8
Мафтир, Дварим 29:6-29:8

Ницавим, Дварим 29:9-30:20
Алия 1, Дварим 29:9-29:11
Алия 2, Дварим 29:12-29:14
Алия 3, Дварим 29:15-29:28
Алия 4, Дварим 30:1-30:6
Алия 5, Дварим 30:7-30:10
Алия 6, Дварим 30:11-30:14
Алия 7, Дварим 30:15-30:20
Мафтир, Дварим 30:15-30:20

Вайэлех, Дварим 31:1-31:30
Алия 1, Дварим 31:1-31:3
Алия 2, Дварим 31:4-31:6
Алия 3, Дварим 31:7-31:9
Алия 4, Дварим 31:10-31:13
Алия 5, Дварим 31:14-31:19
Алия 6, Дварим 31:20-31:24
Алия 7, Дварим 31:25-31:30
Мафтир, Дварим 31:28-31:30

Аазину, Дварим 32:1-32:52
Алия 1, Дварим 32:1-32:6
Алия 2, Дварим 32:7-32:12
Алия 3, Дварим 32:13-32:18
Алия 4, Дварим 32:19-32:28
Алия 5, Дварим 32:29-32:39
Алия 6, Дварим 32:40-32:43
Алия 7, Дварим 32:44-32:52
Мафтир, Дварим 32:48-32:52

Вэзот-Абраха, Дварим 33:1-34:12
Алия 1, Дварим 33:1-33:7
Алия 2, Дварим 33:8-33:12
Алия 3, Дварим 33:13-33:17
Алия 4, Дварим 33:18-33:21
Алия 5, Дварим 33:22-33:26
Алия 6, Дварим 33:27-33:29
Алия 7, Дварим 34:1-34:12

Вайакгел-Пэкудэй, Шмот 35:1-40:38
Алия 1, Шмот 35:1-35:29
Алия 2, Шмот 35:30-37:16
Алия 3, Шмот 37:17-37:29
Алия 4, Шмот 38:1-39:1
Алия 5, Шмот 39:2-39:21
Алия 6, Шмот 39:22-39:43
Алия 7, Шмот 40:1-40:38
Мафтир, Шмот 40:34-40:38

Тазриа-Мецора, Вайикра 12:1-15:33
Алия 1, Вайикра 12:1-13:23
Алия 2, Вайикра 13:24-13:39
Алия 3, Вайикра 13:40-13:54
Алия 4, Вайикра 13:55-14:20
Алия 5, Вайикра 14:21-14:32
Алия 6, Вайикра 14:33-15:15
Алия 7, Вайикра 15:16-15:33
Мафтир, Вайикра 15:31-15:33

Ахарэй-Кдошим, Вайикра 16:1-20:27
Алия 1, Вайикра 16:1-16:24
Алия 2, Вайикра 16:25-17:7
Алия 3, Вайикра 17:8-18:21
Алия 4, Вайикра 18:22-19:14
Алия 5, Вайикра 19:15-19:32
Алия 6, Вайикра 19:33-20:7
Алия 7, Вайикра 20:8-20:27
Мафтир, Вайикра 20:25-20:27

Бэар-Бэхукотай, Вайикра 25:1-27:34
Алия 1, Вайикра 25:1-25:18
Алия 2, Вайикра 25:19-25:28
Алия 3, Вайикра 25:29-25:38
Алия 4, Вайикра 25:39-26:9
Алия 5, Вайикра 26:10-26:46
Алия 6, Вайикра 27:1-27:15
Алия 7, Вайикра 27:16-27:34
Мафтир, Вайикра 27:32-27:34

Хукат-Балак, Бэмидбар 19:1-25:9
Алия 1, Бэмидбар 19:1-20:6
Алия 2, Бэмидбар 20:7-20:21
Алия 3, Бэмидбар 20:22-21:20
Алия 4, Бэмидбар 21:21-22:12
Алия 5, Бэмидбар 22:13-22:38
Алия 6, Бэмидбар 22:39-23:26
Алия 7, Бэмидбар 23:27-25:9
Мафтир, Бэмидбар 25:7-25:9

Матот-Масъэй, Бэмидбар 30:2-36:13
Алия 1, Бэмидбар 30:2-31:12
Алия 2, Бэмидбар 31:13-31:54
Алия 3, Бэмидбар 32:1-32:19
Алия 4, Бэмидбар 32:20-33:49
Алия 5, Бэмидбар 33:50-34:15
Алия 6, Бэмидбар 34:16-35:8
Алия 7, Бэмидбар 35:9-36:13
Мафтир, Бэмидбар 36:11-36:13

Ницавим-Вайэлех, Дварим 29:9-31:30
Алия 1, Дварим 29:9-29:28
Алия 2, Дварим 30:1-30:6
Алия 3, Дварим 30:7-30:14
Алия 4, Дварим 30:15-31:6
Алия 5, Дварим 31:7-31:13
Алия 6, Дварим 31:14-31:19
Алия 7, Дварим 31:20-31:30
Мафтир, Дварим 31:28-31:30
