Aliyah 3, Devarim 1:22-1:38
Aliyah 4, Devarim 1:39-2:1
Aliyah 5, Devarim 2:2-2:30
Aliyah 6, Devarim 2:31-3:14
Aliyah 7, Devarim 3:15-3:22
Maftir, Devarim 3:20-3:22

Vaetchanan, Devarim 3:23-7:11
Aliyah 1, Devarim 3:23-4:4
Aliyah 2, Devarim 4:5-4:40
Aliyah 3, Devarim 4:41-4:49
Aliyah 4, Devarim 5:1-5:18
Aliyah 5, Devarim 5:19-6:3
Aliyah 6, Devarim 6:4-6:25
Aliyah 7, Devarim 7:1-7:11
Maftir, Devarim 7:9-7:11

Eikev, Devarim 7:12-11:25
Aliyah 1, Devarim 7:12-8:10
Aliyah 2, Devarim 8:11-9:3
Aliyah 3, Devarim 9:4-9:29
Aliyah 4, Devarim 10:1-10:11
Aliyah 5, Devarim 10:12-11:9
Aliyah 6, Devarim 11:10-11:21
Aliyah 7, Devarim 11:22-11:25
Maftir, Devarim 11:22-11:25

Re’eh, Devarim 11:26-16:17
Aliyah 1, Devarim 11:26-12:10
Aliyah 2, Devarim 12:11-12:28
Aliyah 3, Devarim 12:29-13:19
Aliyah 4, Devarim 14:1-14:21
Aliyah 5, Devarim 14:22-14:29
Aliyah 6, Devarim 15:1-15:18
Aliyah 7, Devarim 15:19-16:17
Maftir, Devarim 16:13-16:17

Shoftim, Devarim 16:18-21:9
Aliyah 1, Devarim 16:18-17:13
Aliyah 2, Devarim 17:14-17:20
Aliyah 3, Devarim 18:1-18:5
Aliyah 4, Devarim 18:6-18:13
Aliyah 5, Devarim 18:14-19:13
Aliyah 6, Devarim 19:14-20:9
Aliyah 7, Devarim 20:10-21:9
Maftir, Devarim 21:7-21:9

Ki Teitzei, Devarim 21:10-25:19
Aliyah 1, Devarim 21:10-21:21
Aliyah 2, Devarim 21:22-22:7
Aliyah 3, Devarim 22:8-23:7
Aliyah 4, Devarim 23:8-23:24
Aliyah 5, Devarim 23:25-24:4
Aliyah 6, Devarim 24:5-24:13
Aliyah 7, Devarim 24:14-25:19
Maftir, Devarim 25:17-25:19

Ki Tavo, Devarim 26:1-29:8
Aliyah 1, Devarim 26:1-26:11
Aliyah 2, Devarim 26:12-26:15
Aliyah 3, Devarim 26:16-26:19
Aliyah 4, Devarim 27:1-27:10
Aliyah 5, Devarim 27:11-28:6
Aliyah 6, Devarim 28:7-28:69
Aliyah 7, Devarim 29:1-29:8
Maftir, Devarim 29:6-29:8

Nitzavim, Devarim 29:9-30:20
Aliyah 1, Devarim 29:9-29:11
Aliyah 2, Devarim 29:12-29:14
Aliyah 3, Devarim 29:15-29:28
Aliyah 4, Devarim 30:1-30:6
Aliyah 5, Devarim 30:7-30:10
Aliyah 6, Devarim 30:11-30:14
Aliyah 7, Devarim 30:15-30:20
Maftir, Devarim 30:15-30:20

Vayeilech, Devarim 31:1-31:30
Aliyah 1, Devarim 31:1-31:3
Aliyah 2, Devarim 31:4-31:6
Aliyah 3, Devarim 31:7-31:9
Aliyah 4, Devarim 31:10-31:13
Aliyah 5, Devarim 31:14-31:19
Aliyah 6, Devarim 31:20-31:24
Aliyah 7, Devarim 31:25-31:30
Maftir, Devarim 31:28-31:30

Ha’azinu, Devarim 32:1-32:52
Aliyah 1, Devarim 32:1-32:6
Aliyah 2, Devarim 32:7-32:12
Aliyah 3, Devarim 32:13-32:18
Aliyah 4, Devarim 32:19-32:28
Aliyah 5, Devarim 32:29-32:39
Aliyah 6, Devarim 32:40-32:43
Aliyah 7, Devarim 32:44-32:52
Maftir, Devarim 32:48-32:52

V’Zot HaBerachah, Devarim 33:1-34:12
Aliyah 1, Devarim 33:1-33:7
Aliyah 2, Devarim 33:8-33:12
Aliyah 3, Devarim 33:13-33:17
Aliyah 4, Devarim 33:18-33:21
Aliyah 5, Devarim 33:22-33:26
Aliyah 6, Devarim 33:27-33:29
Aliyah 7, Devarim 34:1-34:12

Vayakhel-Pekudei, Shemot 35:1-40:38
Aliyah 1, Shemot 35:1-35:29
Aliyah 2, Shemot 35:30-37:16
Aliyah 3, Shemot 37:17-37:29
Aliyah 4, Shemot 38:1-39:1
Aliyah 5, Shemot 39:2-39:21
Aliyah 6, Shemot 39:22-39:43
Aliyah 7, Shemot 40:1-40:38
Maftir, Shemot 40:34-40:38

Tazria-Metzora, Vayikra 12:1-15:33
Aliyah 1, Vayikra 12:1-13:23
Aliyah 2, Vayikra 13:24-13:39
Aliyah 3, Vayikra 13:40-13:54
Aliyah 4, Vayikra 13:55-14:20
Aliyah 5, Vayikra 14:21-14:32
Aliyah 6, Vayikra 14:33-15:15
Aliyah 7, Vayikra 15:16-15:33
Maftir, Vayikra 15:31-15:33

Achrei Mot-Kedoshim, Vayikra 16:1-20:27
Aliyah 1, Vayikra 16:1-16:24
Aliyah 2, Vayikra 16:25-17:7
Aliyah 3, Vayikra 17:8-18:21
Aliyah 4, Vayikra 18:22-19:14
Aliyah 5, Vayikra 19:15-19:32
Aliyah 6, Vayikra 19:33-20:7
Aliyah 7, Vayikra 20:8-20:27
Maftir, Vayikra 20:25-20:27

Behar-Bechukotai, Vayikra 25:1-27:34
Aliyah 1, Vayikra 25:1-25:18
Aliyah 2, Vayikra 25:19-25:28
Aliyah 3, Vayikra 25:29-25:38
Aliyah 4, Vayikra 25:39-26:9
Aliyah 5, Vayikra 26:10-26:46
Aliyah 6, Vayikra 27:1-27:15
Aliyah 7, Vayikra 27:16-27:34
Maftir, Vayikra 27:32-27:34

Chukat-Balak, Bamidbar 19:1-25:9
Aliyah 1, Bamidbar 19:1-20:6
Aliyah 2, Bamidbar 20:7-20:21
Aliyah 3, Bamidbar 20:22-21:20
Aliyah 4, Bamidbar 21:21-22:12
Aliyah 5, Bamidbar 22:13-22:38
Aliyah 6, Bamidbar 22:39-23:26
Aliyah 7, Bamidbar 23:27-25:9
Maftir, Bamidbar 25:7-25:9

Matot-Masei, Bamidbar 30:2-36:13
Aliyah 1, Bamidbar 30:2-31:12
Aliyah 2, Bamidbar 31:13-31:54
Aliyah 3, Bamidbar 32:1-32:19
Aliyah 4, Bamidbar 32:20-33:49
Aliyah 5, Bamidbar 33:50-34:15
Aliyah 6, Bamidbar 34:16-35:8
Aliyah 7, Bamidbar 35:9-36:13
Maftir, Bamidbar 36:11-36:13

Nitzavim-Vayeilech, Devarim 29:9-31:30
Aliyah 1, Devarim 29:9-29:28
Aliyah 2, Devarim 30:1-30:6
Aliyah 3, Devarim 30:7-30:14
Aliyah 4, Devarim 30:15-31:6
Aliyah 5, Devarim 31:7-31:13
Aliyah 6, Devarim 31:14-31:19
Aliyah 7, Devarim 31:20-31:30
Maftir, Devarim 31:28-31:30
